item_id,item_n_rows,item_n_responses,item_yes_count,item_no_count,item_yes_rate,item_no_rate,item_entropy,item_accuracy,item_n_subjects
1,70,70,62,8,0.8857142857142857,0.11428571428571428,0.5127091420308771,0.8857142857142857,70
2,71,71,45,26,0.6338028169014085,0.36619718309859156,0.9477073729342065,0.36619718309859156,71
3,71,71,61,10,0.8591549295774648,0.14084507042253522,0.5864477034453908,0.8591549295774648,71
4,70,70,43,27,0.6142857142857143,0.38571428571428573,0.9619780596506257,0.6142857142857143,70
5,71,71,31,40,0.43661971830985913,0.5633802816901409,0.9883779727795041,0.43661971830985913,71
6,71,71,7,64,0.09859154929577464,0.9014084507042254,0.46451494409055205,0.9014084507042254,71
7,71,71,70,1,0.9859154929577465,0.014084507042253521,0.10679203237584178,0.9859154929577465,71
8,71,71,62,9,0.8732394366197183,0.1267605633802817,0.5484866088431741,0.1267605633802817,71
9,70,70,54,16,0.7714285714285715,0.22857142857142856,0.7755126581331478,0.22857142857142856,70
10,70,70,14,56,0.2,0.8,0.7219280948873623,0.8,70
11,70,70,68,2,0.9714285714285714,0.02857142857142857,0.1871762568732082,0.9714285714285714,70
12,70,70,63,7,0.9,0.1,0.4689955935892811,0.9,70
13,71,71,52,19,0.7323943661971831,0.2676056338028169,0.8380078505079931,0.7323943661971831,71
14,70,70,57,13,0.8142857142857143,0.18571428571428572,0.692419486327474,0.8142857142857143,70
15,71,71,62,9,0.8732394366197183,0.1267605633802817,0.5484866088431741,0.8732394366197183,71
16,71,71,55,16,0.7746478873239436,0.22535211267605634,0.769820580858819,0.22535211267605634,71
17,71,71,69,2,0.971830985915493,0.028169014084507043,0.18512476010054574,0.971830985915493,71
18,71,71,54,17,0.7605633802816901,0.23943661971830985,0.7941021417852023,0.23943661971830985,71
19,70,70,55,15,0.7857142857142857,0.21428571428571427,0.74959525725948,0.21428571428571427,70
20,71,71,31,40,0.43661971830985913,0.5633802816901409,0.9883779727795041,0.5633802816901409,71
21,70,70,33,37,0.4714285714285714,0.5285714285714286,0.9976432959863936,0.5285714285714286,70
22,71,71,70,1,0.9859154929577465,0.014084507042253521,0.10679203237584178,0.9859154929577465,71
23,71,71,53,18,0.7464788732394366,0.2535211267605634,0.8168114277045246,0.2535211267605634,71
24,70,70,55,15,0.7857142857142857,0.21428571428571427,0.74959525725948,0.21428571428571427,70
25,70,70,51,19,0.7285714285714285,0.2714285714285714,0.8435070855739037,0.2714285714285714,70
26,71,71,71,0,1.0,0.0,0.0,1.0,71
27,71,71,57,14,0.8028169014084507,0.19718309859154928,0.7162583911075449,0.19718309859154928,71
28,71,71,54,17,0.7605633802816901,0.23943661971830985,0.7941021417852023,0.23943661971830985,71
29,71,71,59,12,0.8309859154929577,0.16901408450704225,0.6554444445609847,0.8309859154929577,71
30,70,70,61,9,0.8714285714285714,0.12857142857142856,0.5535072654547253,0.8714285714285714,70
31,71,71,27,44,0.38028169014084506,0.6197183098591549,0.9582407282588408,0.38028169014084506,71
32,71,71,26,45,0.36619718309859156,0.6338028169014085,0.9477073729342065,0.36619718309859156,71
33,70,70,37,33,0.5285714285714286,0.4714285714285714,0.9976432959863936,0.5285714285714286,70
34,70,70,65,5,0.9285714285714286,0.07142857142857142,0.3712323266408755,0.9285714285714286,70
35,71,71,64,7,0.9014084507042254,0.09859154929577464,0.46451494409055194,0.9014084507042254,71
36,71,71,43,28,0.6056338028169014,0.39436619718309857,0.9675594819018212,0.39436619718309857,71
37,70,70,55,15,0.7857142857142857,0.21428571428571427,0.74959525725948,0.7857142857142857,70
38,70,70,44,26,0.6285714285714286,0.37142857142857144,0.9517626756348311,0.37142857142857144,70
39,70,70,64,6,0.9142857142857143,0.08571428571428572,0.4220005168831532,0.9142857142857143,70
40,70,70,66,4,0.9428571428571428,0.05714285714285714,0.31599713297842474,0.9428571428571428,70
41,70,70,68,2,0.9714285714285714,0.02857142857142857,0.1871762568732082,0.9714285714285714,70
42,70,70,55,15,0.7857142857142857,0.21428571428571427,0.74959525725948,0.7857142857142857,70
43,70,70,42,28,0.6,0.4,0.9709505944546686,0.6,70
44,70,70,18,52,0.2571428571428571,0.7428571428571429,0.8224042259549891,0.7428571428571429,70
45,70,70,40,30,0.5714285714285714,0.42857142857142855,0.9852281360342515,0.42857142857142855,70
46,70,70,34,36,0.4857142857142857,0.5142857142857142,0.9994110647387552,0.4857142857142857,70
47,70,70,54,16,0.7714285714285715,0.22857142857142856,0.7755126581331478,0.22857142857142856,70
48,71,71,71,0,1.0,0.0,0.0,1.0,71
49,71,71,59,12,0.8309859154929577,0.16901408450704225,0.6554444445609847,0.16901408450704225,71
50,71,71,20,51,0.28169014084507044,0.7183098591549296,0.8577435372751959,0.28169014084507044,71
51,71,71,17,54,0.23943661971830985,0.7605633802816901,0.7941021417852022,0.23943661971830985,71
52,70,70,59,11,0.8428571428571429,0.15714285714285714,0.6274303352684106,0.8428571428571429,70
53,70,70,48,22,0.6857142857142857,0.3142857142857143,0.898058793450166,0.3142857142857143,70
54,70,70,6,64,0.08571428571428572,0.9142857142857143,0.4220005168831531,0.9142857142857143,70
55,70,70,67,3,0.9571428571428572,0.04285714285714286,0.2552421131901917,0.9571428571428572,70
56,70,70,69,1,0.9857142857142858,0.014285714285714285,0.10802319526362808,0.9857142857142858,70
57,71,71,7,64,0.09859154929577464,0.9014084507042254,0.46451494409055205,0.9014084507042254,71
58,71,71,7,64,0.09859154929577464,0.9014084507042254,0.46451494409055205,0.9014084507042254,71
59,70,70,14,56,0.2,0.8,0.7219280948873623,0.8,70
60,71,71,9,62,0.1267605633802817,0.8732394366197183,0.548486608843174,0.8732394366197183,71
61,70,70,18,52,0.2571428571428571,0.7428571428571429,0.8224042259549891,0.7428571428571429,70
62,70,70,23,47,0.32857142857142857,0.6714285714285714,0.9134601452569628,0.6714285714285714,70
63,71,71,18,53,0.2535211267605634,0.7464788732394366,0.8168114277045246,0.7464788732394366,71
64,71,71,23,48,0.323943661971831,0.676056338028169,0.9086185980409245,0.323943661971831,71
65,70,70,52,18,0.7428571428571429,0.2571428571428571,0.8224042259549891,0.7428571428571429,70
66,71,71,35,36,0.49295774647887325,0.5070422535211268,0.9998568991526107,0.49295774647887325,71
67,71,71,8,63,0.11267605633802817,0.8873239436619719,0.5079353563991224,0.8873239436619719,71
68,71,71,32,39,0.4507042253521127,0.5492957746478874,0.9929768866085175,0.4507042253521127,71
69,71,71,17,54,0.23943661971830985,0.7605633802816901,0.7941021417852022,0.7605633802816901,71
70,70,70,46,24,0.6571428571428571,0.34285714285714286,0.9275265884316759,0.6571428571428571,70
71,70,70,45,25,0.6428571428571429,0.35714285714285715,0.9402859586706311,0.6428571428571429,70
72,71,71,11,60,0.15492957746478872,0.8450704225352113,0.6220403090607189,0.8450704225352113,71
73,71,71,26,45,0.36619718309859156,0.6338028169014085,0.9477073729342065,0.36619718309859156,71
74,70,70,45,25,0.6428571428571429,0.35714285714285715,0.9402859586706311,0.35714285714285715,70
75,71,71,45,26,0.6338028169014085,0.36619718309859156,0.9477073729342065,0.36619718309859156,71
76,71,71,42,29,0.5915492957746479,0.4084507042253521,0.9756797868933085,0.5915492957746479,71
77,70,70,43,27,0.6142857142857143,0.38571428571428573,0.9619780596506257,0.6142857142857143,70
78,70,70,6,64,0.08571428571428572,0.9142857142857143,0.4220005168831531,0.9142857142857143,70
79,71,71,14,57,0.19718309859154928,0.8028169014084507,0.7162583911075449,0.8028169014084507,71
80,71,71,6,65,0.08450704225352113,0.9154929577464789,0.4178642624458584,0.9154929577464789,71
81,71,71,22,49,0.30985915492957744,0.6901408450704225,0.8930108100446013,0.30985915492957744,71
82,71,71,33,38,0.4647887323943662,0.5352112676056338,0.9964196342978481,0.5352112676056338,71
83,71,71,57,14,0.8028169014084507,0.19718309859154928,0.7162583911075449,0.8028169014084507,71
84,70,70,61,9,0.8714285714285714,0.12857142857142856,0.5535072654547253,0.8714285714285714,70
85,70,70,42,28,0.6,0.4,0.9709505944546686,0.6,70
86,70,70,43,27,0.6142857142857143,0.38571428571428573,0.9619780596506257,0.6142857142857143,70
87,70,70,14,56,0.2,0.8,0.7219280948873623,0.8,70
88,70,70,21,49,0.3,0.7,0.8812908992306927,0.7,70
89,70,70,26,44,0.37142857142857144,0.6285714285714286,0.9517626756348311,0.6285714285714286,70
90,71,71,61,10,0.8591549295774648,0.14084507042253522,0.5864477034453908,0.8591549295774648,71
91,71,71,49,22,0.6901408450704225,0.30985915492957744,0.8930108100446013,0.30985915492957744,71
92,70,70,60,10,0.8571428571428571,0.14285714285714285,0.5916727785823275,0.8571428571428571,70
93,70,70,45,25,0.6428571428571429,0.35714285714285715,0.9402859586706311,0.35714285714285715,70
94,70,70,69,1,0.9857142857142858,0.014285714285714285,0.10802319526362808,0.9857142857142858,70
95,70,70,43,27,0.6142857142857143,0.38571428571428573,0.9619780596506257,0.6142857142857143,70
96,70,70,29,41,0.4142857142857143,0.5857142857142857,0.9786961448300948,0.5857142857142857,70
97,70,70,45,25,0.6428571428571429,0.35714285714285715,0.9402859586706311,0.6428571428571429,70
98,70,70,26,44,0.37142857142857144,0.6285714285714286,0.9517626756348311,0.6285714285714286,70
99,71,71,13,58,0.18309859154929578,0.8169014084507042,0.6868088934028035,0.8169014084507042,71
100,71,71,19,52,0.2676056338028169,0.7323943661971831,0.8380078505079931,0.2676056338028169,71
101,71,71,61,10,0.8591549295774648,0.14084507042253522,0.5864477034453908,0.8591549295774648,71
102,71,71,48,23,0.676056338028169,0.323943661971831,0.9086185980409245,0.323943661971831,71
103,70,70,49,21,0.7,0.3,0.8812908992306927,0.3,70
104,70,70,48,22,0.6857142857142857,0.3142857142857143,0.898058793450166,0.3142857142857143,70
105,71,71,51,20,0.7183098591549296,0.28169014084507044,0.8577435372751957,0.28169014084507044,71
106,71,71,51,20,0.7183098591549296,0.28169014084507044,0.8577435372751957,0.7183098591549296,71
107,70,70,53,17,0.7571428571428571,0.24285714285714285,0.7997594113291762,0.7571428571428571,70
108,70,70,32,38,0.45714285714285713,0.5428571428571428,0.9946937953613058,0.5428571428571428,70
109,70,70,42,28,0.6,0.4,0.9709505944546686,0.6,70
110,71,71,12,59,0.16901408450704225,0.8309859154929577,0.6554444445609847,0.8309859154929577,71
111,71,71,20,51,0.28169014084507044,0.7183098591549296,0.8577435372751959,0.28169014084507044,71
112,71,71,60,11,0.8450704225352113,0.15492957746478872,0.6220403090607189,0.8450704225352113,71
113,71,71,70,1,0.9859154929577465,0.014084507042253521,0.10679203237584178,0.9859154929577465,71
114,71,71,53,18,0.7464788732394366,0.2535211267605634,0.8168114277045246,0.2535211267605634,71
115,71,71,70,1,0.9859154929577465,0.014084507042253521,0.10679203237584178,0.9859154929577465,71
116,71,71,56,15,0.7887323943661971,0.2112676056338028,0.7438987452884341,0.2112676056338028,71
117,70,70,51,19,0.7285714285714285,0.2714285714285714,0.8435070855739037,0.2714285714285714,70
118,70,70,54,16,0.7714285714285715,0.22857142857142856,0.7755126581331478,0.22857142857142856,70
119,70,70,8,62,0.11428571428571428,0.8857142857142857,0.512709142030877,0.8857142857142857,70
120,71,71,34,37,0.4788732394366197,0.5211267605633803,0.9987117514654893,0.4788732394366197,71
121,71,71,3,68,0.04225352112676056,0.9577464788732394,0.25253077151613906,0.9577464788732394,71
122,70,70,28,42,0.4,0.6,0.9709505944546686,0.6,70
123,71,71,10,61,0.14084507042253522,0.8591549295774648,0.5864477034453908,0.8591549295774648,71
